전철역코드,전철역명,전철명명(영문),호선,외부코드,전철명명(중문),전철명명(일문),,,,,,
4201,서울역,Seoul Station,수도권 공항철도,1,首爾站,ソウルヨク,,,,,,
4202,공덕,Gongdeok,수도권 공항철도,2,孔德,コンドク,,,,,,
4203,홍대입구,Hongik Univ.,수도권 공항철도,3,弘益大?,ホンデイック,,,,,,
4204,디지털미디어시티,Digital Media City,수도권 공항철도,4,??媒?城,デジタルメディアシティ,,,,,,
4206,마곡나루,Magongnaru,수도권 공항철도,5,麻谷渡口,マゴンナル,,,,,,
4207,김포공항,Gimpo Intl. Airport,수도권 공항철도,6,金浦机?,キンポゴンハン,,,,,,
4208,계양,Gyeyang,수도권 공항철도,7,桂?,ケヤン,,,,,,
4209,검암,Geomam,수도권 공항철도,8,黔岩,コマム,,,,,,
4210,청라국제도시,Cheongna Int’l City Station,수도권 공항철도,9,靑羅國際城驛,チョンナグクチェドシ,,,,,,
4217,영종,Yeongjong,수도권 공항철도,10,永宗,ヨンジョン,,,,,,
4211,운서,Unseo,수도권 공항철도,11,云西,ウンソ,,,,,,
4212,공항화물청사,Incheon Intl. Airport Cargo Terminal,수도권 공항철도,12,机??物?舍,コンハンファムルチョンサ,,,,,,
4213,인천공항1터미널,Incheon Int’l Airport Terminal 1,수도권 공항철도,13,仁川??机? 1?航站?,仁川?際空港 1タ?ミナル,,,,,,
4215,인천공항2터미널,Incheon Int’l Airport Terminal 2,수도권 공항철도,14,仁川??机? 2?航站?,仁川?際空港 ２タ?ミナル,,,,,,
1919,연천,Yeoncheon,수도권 1호선,97,?川,ヨンチョン,,,,,,
1918,전곡,Jeongok,수도권 1호선,98,全谷,チョンゴク,,,,,,
1917,청산,Cheongsan,수도권 1호선,99,?山,チョンサン,,,,,,
1916,소요산,Soyosan,수도권 1호선,100,逍?山,ソヨサン,,,,,,
1915,동두천,Dongducheon,수도권 1호선,101,?豆川,トンドゥチョン,,,,,,
1914,보산,Bosan,수도권 1호선,102,保山,ポサン,h,,,,,
1913,동두천중앙,Dongducheon  jungang,수도권 1호선,103,?豆川中央,トンドゥチョン·チュンアン,,,,,,
1912,지행,Jihaeng,수도권 1호선,104,?杏,チヘン,,,,,,
1911,덕정,Deokjeong,수도권 1호선,105,德亭,トクチョン,,,,,,
1910,덕계,Deokgye,수도권 1호선,106,德溪,トッケ,,,,,,
1909,양주,Yangju,수도권 1호선,107,?州,ヤンジュ,,,,,,
